"Player","Team","REC","YDS","TDS","FL","FPTS"
"Robert Tonyan","MIN","0.0","0.0","0.0","0.0","0.0"
"Eric Tomlinson","LAC","0.0","0.0","0.0","0.0","0.0"
"Anthony Firkser","NYJ","0.0","0.0","0.0","0.0","0.0"
"N'Keal Harry","MIN","0.0","0.0","0.0","0.0","0.0"
"Irv Smith Jr.","HOU","0.0","0.0","0.0","0.0","0.0"
"Geoff Swaim","CLE","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","JAC","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Chris Myarick","HOU","0.0","0.0","0.0","0.0","0.0"
"Zach Davidson","BUF","0.0","0.0","0.0","0.0","0.0"
"Feleipe Franks","CAR","0.0","0.0","0.0","0.0","0.0"
"Sammis Reyes","MIN","0.0","0.0","0.0","0.0","0.0"
"Tommy Hudson","NO","0.0","0.0","0.0","0.0","0.0"
"Miller Forristall","LAR","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","NE","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","PHI","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","SEA","0.0","0.0","0.0","0.0","0.0"
"Teagan Quitoriano","CHI","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","WAS","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","ATL","0.0","0.0","0.0","0.0","0.0"
"James Mitchell","DET","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","LAR","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","CLE","0.0","0.0","0.0","0.0","0.0"
"Zack Kuntz","NYJ","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
"Tucker Fisk","LAC","0.0","0.0","0.0","0.0","0.0"
""
""
