"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"115","David Moore (CAR)","1","0","0","0.0","0","0.0","-8","0.0","0","0.0","0","0.0","0","1","3.8%","0","0","0","0","0","0","0","0","0"
"116","Charlie Jones (CIN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"117","Derius Davis (LAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"118","Xavier Gipson (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"119","Cedrick Wilson Jr. (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"120","Zach Pascal (ARI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"121","Ronnie Bell (SF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"122","Keon Coleman (BUF)","1","0","0","0.0","0","0.0","21","0.0","0","0.0","0","0.0","0","1","5.6%","0","0","0","0","0","0","0","0","0"
"123","JuJu Smith-Schuster (KC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"124","Xavier Hutchinson (HOU)","1","0","0","0.0","0","0.0","3","0.0","0","0.0","0","0.0","0","1","2.9%","0","0","0","0","0","0","0","0","0"
"125","Xavier Legette (CAR)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"126","Luke McCaffrey (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"127","Bub Means (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"128","Jha'Quan Jackson (TEN)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"129","Anthony Gould (IND)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"130","James Proche II (CLE)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"131","Mason Tipton (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"132","Jalen Guyton (LV)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"133","Dee Williams (SEA)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"134","Chris Moore (ARI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"135","Marquez Valdes-Scantling (BUF)","1","0","0","0.0","0","0.0","29","0.0","0","0.0","0","0.0","0","1","5.6%","0","0","0","0","0","0","0","0","0"
"136","Jalin Hyatt (NYG)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
